valor_requerido,valor_desembolso,total_juros,taxa_juros,taxa_multa,taxa_mora,status_id,data_criacao,data_pagamento,produto,conveniada_id,quantidade_parcelas,data_primeiro_vencimento,valor_parcela,quantidade_parcelas_pagas,cpf,nome,dt_nasc,sexo,email
"6242,89","6098,9","143,99","2,30649","5,56","1,33",,25/3/2026,,CONSIGNADO,,8,2/5/2026,"780,36",1,02Nsphg5TzUC1S,Mr. Chaz Funk DDS,21/6/1978,F,walker.jakob@example.com
"32676,6","31888,5","788,14","2,41193","5,48","9,51",,25/3/2026,,CONSIGNADO,,12,15/6/2026,"2723,05",12,09m7gJMkpmsLoa,Zander McDermott DDS,19/7/2011,M,bernadine24@example.com
"24288,6","23888,2","400,34","1,64826","4,57","3,66",,25/3/2026,,CONSIGNADO,,93,12/5/2026,"261,17",56,0Av3zpNKVuVbhv,Mrs. Elisha Hintz,10/7/1976,M,aniyah.koelpin@example.net
"19032,4","18761,4","270,98","1,42379","1,87","6,72",,25/3/2026,,CONSIGNADO,,91,27/5/2026,"209,15",82,0bD44AiQNAzn6O,Eden Toy,28/3/1989,F,wpacocha@example.net
"16962,7","16543,4","419,32","2,47201","2,62","9,12",,25/3/2026,,CONSIGNADO,,25,19/6/2026,"678,51",8,0bD44AiQNAzn6O,Eden Toy,28/3/1989,F,wpacocha@example.net
"11356,6","11146,9","209,73","1,84681","8,87","4,77",,25/3/2026,,CONSIGNADO,,33,8/6/2026,"344,14",30,0bD44AiQNAzn6O,Eden Toy,28/3/1989,F,wpacocha@example.net
"53804,7","53092,1","712,59","1,3244","4,01","7,15",,25/3/2026,,CONSIGNADO,,35,5/6/2026,"1537,28",16,0DjAqUcyh8Ijq2,Thomas Herman,8/12/1975,M,isobel95@example.com
"48772,5","48109,1","663,47","1,36033","8,43","9,71",,25/3/2026,,CONSIGNADO,,3,5/6/2026,"16257,5",3,0DwKJmHimtPj9A,Prof. Elsie Kihn,29/11/1989,F,koby.raynor@example.com
"7049,85","6893,31","156,54","2,22053","2,6","5,28",,25/3/2026,,CONSIGNADO,,17,30/4/2026,"414,7",17,0hGVom8Ww4jwTr,Devyn Wisozk III,23/4/1970,M,ebba.prohaska@example.org
"46189,9","45710,3","479,59","1,0383","4,17","6,31",,25/3/2026,,CONSIGNADO,,93,9/5/2026,"496,67",57,0ITV53mndNsEpq,Dr. Audreanne Kirlin,13/2/1999,F,savanna.wuckert@example.net
"41853,5","40906,4","947,08","2,26284","7,81","2,04",,25/3/2026,,CONSIGNADO,,61,12/5/2026,"686,12",27,0JFyoEy35tqZBe,Dr. Freddie Christiansen,26/12/1971,M,ettie.block@example.com
"11525,6",11409,"116,53","1,01102","1,13","5,2",,25/3/2026,,CONSIGNADO,,72,26/4/2026,"160,08",71,0jOW64bLF5yWDn,Eleanore Murray,18/5/1995,M,nasir53@example.com
"28971,5","28193,1","778,39","2,68673","8,15","2,74",,25/3/2026,,CONSIGNADO,,8,19/5/2026,"3621,43",5,0jOW64bLF5yWDn,Eleanore Murray,18/5/1995,M,nasir53@example.com
"2043,74","2014,18","29,56","1,44632","8,47","8,53",,25/3/2026,,CONSIGNADO,,6,27/5/2026,"340,62",5,0kS1Ojk6K052AA,Prof. Kaia Goldner,3/5/2004,M,abdullah.larkin@example.net
"23873,9","23187,2","686,68","2,87626","9,49","3,1",,25/3/2026,,CONSIGNADO,,95,10/5/2026,"251,3",57,0l87AxbDNzv70W,Mr. Roger Lowe Sr.,10/9/1997,F,joaquin.swift@example.org
"33261,2","32667,8","593,4","1,78405","8,43","3,15",,25/3/2026,,CONSIGNADO,,20,15/6/2026,"1663,06",17,0MoaezHje7YCcs,Joana Langworth,14/7/1987,F,lyda.schmeler@example.net
"19447,2","19214,8","232,38","1,19494","5,77","9,19",,25/3/2026,,CONSIGNADO,,66,18/6/2026,"294,65",46,0oFT5uzIigD8Ba,Elfrieda Ankunding PhD,2/4/2018,F,hschmitt@example.net
"11485,1","11249,2","235,85","2,05356","1,31","6,55",,25/3/2026,,CONSIGNADO,,22,2/5/2026,"522,05",14,0PCbbhG3SPInVz,Germaine Mertz,12/2/2019,F,cary53@example.org
"56269,6","55273,6","996,03","1,77011","4,11","4,23",,25/3/2026,,CONSIGNADO,,52,30/4/2026,"1082,11",6,0rQfwn1lf2YdKA,Ms. Assunta Powlowski,24/5/2002,F,nasir38@example.net
"32076,6","31127,5","949,14","2,95898","4,68","9,44",,25/3/2026,,CONSIGNADO,,17,23/6/2026,"1886,86",14,0te1TTSuhSpYZn,Dr. Lucas Beahan DVM,30/7/1984,M,hagenes.eusebio@example.com
"43771,9","42656,2","1115,77","2,54905","1,38","6,63",,25/3/2026,,CONSIGNADO,,26,27/4/2026,"1683,54",4,0twNu6NVCKcXYJ,Prof. Priscilla Reilly V,7/8/2025,M,krista43@example.net
"16442,7","16185,3","257,36","1,56518","5,16","2,88",,25/3/2026,,CONSIGNADO,,60,30/4/2026,"274,04",17,0u1zf7ekfPp3x0,Isobel Rau,21/8/1993,M,fbrakus@example.com
27596,"26957,4","638,66","2,31431","7,51","2,88",,25/3/2026,,CONSIGNADO,,64,30/4/2026,"431,19",15,0UiXnuQKji4obY,Larissa Crist,23/10/1985,F,rstoltenberg@example.org
"29741,4","29313,1","428,26","1,43994","4,26","6,09",,25/3/2026,,CONSIGNADO,,82,10/5/2026,"362,7",33,0UiXnuQKji4obY,Larissa Crist,23/10/1985,F,rstoltenberg@example.org
"55227,6","53902,8","1324,76","2,39872",5,"7,55",,25/3/2026,,CONSIGNADO,,32,28/4/2026,"1725,86",21,0vtEisR0U1xvBI,Arne Mante,18/4/1981,M,kuhn.murray@example.org
"14539,7","14181,3","358,42","2,46508","7,71","4,39",,25/3/2026,,CONSIGNADO,,69,14/6/2026,"210,72",67,0WehsvSRwtP7uL,Ms. Crystel O'Conner IV,23/7/2014,F,dell.quitzon@example.org
"34433,9","33976,8","457,15","1,32762","3,32","4,5",,25/3/2026,,CONSIGNADO,,20,5/6/2026,"1721,7",9,0XmxHe8ILB0w1O,Dr. Mavis Wolf,26/4/2003,F,benedict41@example.com
"45098,3","44596,3","501,98","1,11307","3,46","3,73",,25/3/2026,,CONSIGNADO,,69,28/4/2026,"653,6",36,0xqydEaye9RDLv,Rudolph Reynolds,23/1/1972,F,sean.strosin@example.com
"15215,2","14861,7","353,49","2,32325","7,07","6,42",,25/3/2026,,CONSIGNADO,,8,8/5/2026,"1901,9",0,0YdBxvj4fOj2o1,Clarabelle Kerluke,25/9/1997,F,elfrieda46@example.net
"3378,39","3318,95","59,44","1,75931","9,85","8,97",,25/3/2026,,CONSIGNADO,,71,26/5/2026,"47,58",46,10twvHOW58hvdX,Jevon Trantow,29/4/1974,M,stroman.rosamond@example.net
